language	lang_id	gloss	transcription	translation	comment
Merdeka		1. Tangan	limak	hand	
Merdeka		2. Kiri	meki	left	
Merdeka		3. Kanan	wanã	right	
Merdeka		4. Kaki	leik	foot	
Merdeka		5. Kaki	l. əpã	footprint	
Merdeka		6. Berjalan	pana	walk	
Merdeka		7. Jalan	larã	road	
Merdeka		8. Datang	lohe	come	
Merdeka		9. Balik	tue	return	
Merdeka		10. Berenang	naŋe	swim	
Merdeka		11. Mencuci	baha	wash	
Merdeka		12. Hapus	tohok	wipe	
Merdeka		13. Gosok	doru	rub	
Merdeka		14. Kotor	milã	dirty	
Merdeka		15. Debu	əmut	dust	
Merdeka		16. Kulit	kama	skin	
Merdeka		17. Punggung	uhukət	back	
Merdeka		18. Perut	taik	belly	
Merdeka		19. Tulang	riuk	bone	
Merdeka		20. Isi perut	t. kalunã	stomach	
Merdeka		21. Hati	onəkət	liver	
Merdeka		22. Jantung	puho	heart	
Merdeka		23. Tahu	koi	know	
Merdeka		24. Pikir	petã	think	
Merdeka		25. Takut	takut	scared	
Merdeka		26. Darah	mei	blood	
Merdeka		27. Kepala	kotəkət	head	
Merdeka		28. Leher	wulik	neck	
Merdeka		29. Rambut	rata	hair	
Merdeka		30. Hidung	iru	nose	
Merdeka		31. Bernapas	eha naikə	breathe	
Merdeka		32. Membaui	hodã	smell	
Merdeka		33. Mulut	nuhu	mouth	
Merdeka		34. Gigi	ipək	tooth	
Merdeka		35. Lidah	ewelə	tongue	
Merdeka		36. Tertawa	geka	laugh	
Merdeka		37. Menangis	tani	cry	
Merdeka		38. Muntah	luã	vomit	
Merdeka		39. Meludah	pərino	spit	
Merdeka		40. Makan	kã	eat	kã, go: different inflections
Merdeka		41. Masak	biho	cook	
Merdeka		42. Minum	kenu	drink	kenu, menu: different inflections
Merdeka		43. Gigit	gike	bite	
Merdeka		44. Menetek	tuho	suck	
Merdeka		45. Telinga	tiluk	ear	
Merdeka		46. Dengar	dəŋa	listen	
Merdeka		47. Mata	matakə	eye	
Merdeka		48. Melihat	bəlele	see	
Merdeka		49. Tidur	turu	sleep	
Merdeka		50. Rebah	turu	lie down	
Merdeka		51. Duduk	tobo	sit	
Merdeka		52. Berdiri	deʔi	stand	
Merdeka		53. Orang	ədikã	person	
Merdeka		54. Laki-laki	kəbəlake	man	
Merdeka		55. Wanita	bərwae	woman	
Merdeka		56. Anak	ana	child	
Merdeka		57. Suami	kəbəlake	husband	
Merdeka		58. Isteri	kəwae	wife	
Merdeka		59. Ibu	ina	mother	
Merdeka		60. Bapak	ama	father	
Merdeka		61. Kakak	kaka	older sibling	
Merdeka		62. Adik	ari	younger sibling	
Merdeka		63. Nama	narã	name	
Merdeka		64. Bilang	gasip	say	
Merdeka		65. Tali	tale	rope	
Merdeka		66. Mengikat 	hoŋã	tie	
Merdeka		67. Menjahit 	haur	sew	
Merdeka		68. Pakaian 	alelolo	clothing	
Merdeka		69. Berburu	welok	hunt	
Merdeka		70. Menembak 	pasak	shoot	
Merdeka		71. Menikam 	tubak	stab	
Merdeka		72. Bertinju 	sadok	fist	
Merdeka		73. berkelahi 	uno(geni)	fight	
Merdeka		74. Membunuh 	—	kill	
Merdeka		75. Mati 	mataya	dead	
Merdeka		76. Hidup 	mori	alive	
