language	lang_id	gloss	transcription	translation	comment
Mulan		1. Tangan	lima	hand	
Mulan		2. Kiri	neki	left	
Mulan		3. Kanan	wɤnɤ	right	in the handwritten version there are arches above the vowel
Mulan		4. Kaki	lei	foot	
Mulan		5. Kaki	lei onã	footprint	
Mulan		6. Berjalan	pana	walk	
Mulan		7. Jalan	larã	road	
Mulan		8. Datang	bəso	come	
Mulan		9. Balik	tue	return	
Mulan		10. Berenang	naŋe	swim	
Mulan		11. Mencuci	baha	wash	
Mulan		12. Hapus	hapu	wipe	
Mulan		13. Gosok	doru	rub	
Mulan		14. Kotor	milɤ	dirty	
Mulan		15. Debu	əmu	dust	
Mulan		16. Kulit	kɤmɤ	skin	
Mulan		17. Punggung	uhuk	back	
Mulan		18. Perut	tɤi	belly	
Mulan		19. Tulang	riuk	bone	
Mulan		20. Isi perut	kəboti	stomach	
Mulan		21. Hati	ate	liver	
Mulan		22. Jantung	puhu	heart	
Mulan		23. Tahu	toi	know	
Mulan		24. Pikir	petɤ	think	
Mulan		25. Takut	taku	scared	
Mulan		26. Darah	mehi	blood	
Mulan		27. Kepala	kotə	head	
Mulan		28. Leher	fuli	neck	
Mulan		29. Rambut	rata	hair	
Mulan		30. Hidung	niruŋ	nose	
Mulan		31. Bernapas	eha nai	breathe	
Mulan		32. Membaui	hodɤ	smell	
Mulan		33. Mulut	wəwa	mouth	
Mulan		34. Gigi	ipə	tooth	
Mulan		35. Lidah	ewel	tongue	
Mulan		36. Tertawa	geka	laugh	
Mulan		37. Menangis	tani	cry	
Mulan		38. Muntah	luə	vomit	
Mulan		39. Meludah	pərino	spit	
Mulan		40. Makan	kɤ	eat	kɤ, go: different inflections
Mulan		41. Masak	biho	cook	
Mulan		42. Minum	tenu	drink	
Mulan		43. Gigit	gike	bite	
Mulan		44. Menetek	tuho	suck	
Mulan		45. Telinga	tilu	ear	
Mulan		46. Dengar	dəŋa	listen	
Mulan		47. Mata	matɤ	eye	
Mulan		48. Melihat	bele	see	
Mulan		49. Tidur	turu	sleep	
Mulan		50. Rebah	pawaŋ	lie down	
Mulan		51. Duduk	tobo	sit	
Mulan		52. Berdiri	dei	stand	
Mulan		53. Orang	atadikɤ	person	
Mulan		54. Laki-laki	kəblake	man	
Mulan		55. Wanita	kəbarawae	woman	
Mulan		56. Anak	ana	child	
Mulan		57. Suami	kəlake	husband	
Mulan		58. Isteri	kəwae	wife	
Mulan		59. Ibu	ina	mother	
Mulan		60. Bapak	bapa	father	
Mulan		61. Kakak	kaka	older sibling	
Mulan		62. Adik	ari	younger sibling	
Mulan		63. Nama	nara	name	
Mulan		64. Bilang	mɤi	say	
Mulan		65. Tali	tale	rope	
Mulan		66. Mengikat 	pui	tie	
Mulan		67. Menjahit 	hau	sew	
Mulan		68. Pakaian 	alelolo	clothing	
Mulan		69. Berburu	welo	hunt	
Mulan		70. Menembak 	pasa	shoot	
Mulan		71. Menikam 	tuba	stab	
Mulan		72. Bertinju 	sado	fist	
Mulan		73. berkelahi 	pəwuno	fight	
Mulan		74. Membunuh 	səbəle	kill	
Mulan		75. Mati 	mate	dead	
Mulan		76. Hidup 	mori	alive	
Mulan		77. Menggaruk 	ragu	scratch	
Mulan		78. Memotong	belo	cut	
Mulan		79. Batang 	pukə	stem	
Mulan		80. Membelah 	gika	split	
Mulan		81. Tajam 	rəkə	sharp	
Mulan		82. Tumpul 	kəmotol	blunt 	
Mulan		83. Bekerja 	kəriɤ	work	
Mulan		84. Bermain 	gəlaha	play	
Mulan		85. Menyanyi	ñañi	sing	
Mulan		86. Menari 	soka	dance	
Mulan		87. Bengkak	kebaras	swollen	
Mulan		88. Memeras 	piu	squeeze	
Mulan		89. Memegang	pehe	hold	
Mulan		90. Menggali 	gali	dig	
Mulan		91. Memberi 	ni	give	
Mulan		92. Menarik	tubo	pull	
Mulan		93. Mendorong 	udu	push	
Mulan		94. Melempar 	dəka	throw	
Mulan		95. Jatuh 	ləŋa	fall	
Mulan		96. Anjing 	aho	dog	
Mulan		97. Burung 	kolo	bird	
Mulan		98. Telur 	təlu	egg	
Mulan		99. Bulu 	rawuk	feather	
Mulan		100. Sayap 	kəpik	wing	
Mulan		101. Terbang 	bəka	fly	
Mulan		102. Binatang 	əwə	animal	
Mulan		103. Daging 	nawək	meat	
Mulan		104. Lemak 	worɤ	fat	
Mulan		105. Ekor 	iku	tale	
Mulan		106. Ular 	ula	snake	
Mulan		107. Cacing 	kodɤ	worm	
Mulan		108. Kutu 	kuto	louse	
Mulan		109. Ikan 	ikɤ	fish	
Mulan		110. Pohon 	kajo	tree	
Mulan		111. Busuk 	wɤu	rotten	
Mulan		112. Daun 	lolo	leaf	
Mulan		113. Kulit kayu	kajo kɤmɤ	bark	
Mulan		114. Akar 	ramut	root	
Mulan		115. Biji 	kənuluk	seed	
Mulan		116. Bunga 	puhu	flower	
Mulan		117. Buah 	wuɤ	fruit	
Mulan		118. Rumput 	kərəmə	grass	
Mulan		119. Tanah 	tana	earth	
Mulan		120. Batu 	wato	stone	
Mulan		121. Pasir 	botɤ	sand	
Mulan		122. Air 	wai	water	
Mulan		123. Membeku 	—	freeze	
Mulan		124. Es 	—	ice	
Mulan		125. Mengalir 	bapa	flow	
Mulan		126. Terapung 	bao	float	
Mulan		127. Laut 	lewa	sea	
Mulan		128. Garam 	sia	salt	
Mulan		129. Danau 	liwo	lake	
Mulan		130. Sungai 	wai	river	
Mulan		131. Gunung 	ile	mountain	
Mulan		132. Hutan	məgə	forest	
Mulan		133. Langit 	kəlɤ	sky	
Mulan		134. Matahari 	ləra	sun	
Mulan		135. Bintang 	bəlia	star	
Mulan		136. Awan 	kəkə	cloud	
Mulan		137. Embun 	apu	dew	
Mulan		138. Hujan 	urɤ	rain	
Mulan		139. Salju 	—	snow	
Mulan		140. Angin 	əŋi	wind	
Mulan		141. Bertiup 	bu	blow	
Mulan		142. Panas 	pəlate	hot	
Mulan		143. Dingin 	leta	cold	
Mulan		144. Kering 	mara	dry	
Mulan		145. Basah 	sənəbe	wet	
Mulan		146. Rata 	lere	flat, smooth	
Mulan		147. Berat 	baa	heavy	
Mulan		148. Api 	ape	fire	
Mulan		149. Membakar 	tuno	burn	
Mulan		150. Asap 	nuhu	smoke	
Mulan		151. Abu 	kawu	dust	
Mulan		152. Hitam 	miten	black 	
Mulan		153. Putih 	burɤ	white	
Mulan		154. Merah 	meɤ	red	
Mulan		155. Kuning 	kumɤ	yellow	
Mulan		156. Hijau 	keor	green	
Mulan		157. Kecil 	kəre	small	
Mulan		158. Besar 	belɤ	big	
Mulan		159. Pendek 	kənəpo	short	
Mulan		160. Panjang 	bələhɤ	long	
Mulan		161. Tipis 	bənipi	thin	
Mulan		162. Tebal 	pərəwɤ	thick	
Mulan		163. Sempit 	tudak	narrow	
Mulan		164. Luas 	belɤ	wide	
Mulan		165. Lurus 	mulu	straight	
Mulan		166. Tua 	magu	old	
Mulan		167. Baru 	wu	new	
Mulan		168. Baik 	alusɤ	good	
Mulan		169. Jelek	mədo	bad	
Mulan		170. Betul 	murɤ	right, correct	
Mulan		171. Malam 	rəma	night	
Mulan		172. Tahun 	tu	year	
Mulan		173. Hari 	ləro	day	
Mulan		174. Bilamana 	arapira	when	
Mulan		175. Di 	lau	in 	lau, rae: different inflections
Mulan		176. Dalam 	onɤ	inside	
Mulan		177. Di sini 	dipi	here	
Mulan		178. Di situ 	depe	there	
Mulan		179. Ini 	nəpi	this	
Mulan		180. Itu 	nəpe	that	
Mulan		181. Dekat 	dahe	near	
Mulan		182. Jauh 	doa	far	
Mulan		183. Di mana 	nəga	where	
Mulan		184. Saya 	goʔe	1SG	
Mulan		185. Engkau/kamu	moe	2SG;2PL	
Mulan		185. Engkau/kamu	mio	2SG;2PL	
Mulan		186. Dia 	nae	3SG	
Mulan		187. Kita 	tite	1PL.INC	
Mulan		188. Kami 	kame	1PL.EXC	
Mulan		189. Mereka 	rae	3PL	
Mulan		190. Apa 	ale	what	
Mulan		191. Siapa 	ate	who	
Mulan		192. Lain	gehak	other	
Mulan		193. Beberapa 	pira-pira	some	
Mulan		194. Banyak 	aja	many	
Mulan		195. Sedikit 	ue	few	
Mulan		196. Semua 	fəka	all	
Mulan		197. Dan 	nɤ	and	
Mulan		198. Dengan	nɤ	with	
Mulan		199. Sebab 	pukə	because	
Mulan		200. Jikalau 	kalu	if	
