language	lang_id	gloss	transcription	translation	comment
Pukaunu		1. Tangan	lima	hand	
Pukaunu		2. Kiri	wiri	left	
Pukaunu		3. Kanan	wana	right	
Pukaunu		4. Kaki	lei	foot	
Pukaunu		5. Kaki	əbʔã	footprint	
Pukaunu		6. Berjalan	pana	walk	
Pukaunu		7. Jalan	larã	road	
Pukaunu		8. Datang	səgat	come	
Pukaunu		9. Balik	tueʔ	return	
Pukaunu		10. Berenang	naŋe	swim	
Pukaunu		11. Mencuci	baha	wash	
Pukaunu		12. Hapus	hapũ	wipe	
Pukaunu		13. Gosok	doru	rub	
Pukaunu		14. Kotor	milã	dirty	
Pukaunu		15. Debu	kəwuk	dust	
Pukaunu		16. Kulit	kulit	skin	
Pukaunu		17. Punggung	nobe	back	
Pukaunu		18. Perut	dulak	belly	
Pukaunu		19. Tulang	riʔuk	bone	
Pukaunu		20. Isi perut	dulak onoʔo	stomach	
Pukaunu		21. Hati	ate	liver	
Pukaunu		22. Jantung		heart	empty in book
Pukaunu		23. Tahu	koi	know	koi, moiː different inflections
Pukaunu		24. Pikir	nəkət	think	
Pukaunu		25. Takut	tapuk	scared	
Pukaunu		26. Darah	mei	blood	
Pukaunu		27. Kepala	kotã	head	
Pukaunu		28. Leher	wulĩ	neck	
Pukaunu		29. Rambut	ratak	hair	
Pukaunu		30. Hidung	irũ	nose	
Pukaunu		31. Bernapas	boʔ	breathe	
Pukaunu		32. Membaui	siõ	smell	
Pukaunu		33. Mulut	wəwa	mouth	
Pukaunu		34. Gigi	ipək	tooth	
Pukaunu		35. Lidah	wewel	tongue	
Pukaunu		36. Tertawa	gekat	laugh	
Pukaunu		37. Menangis	taniŋ	cry	
Pukaunu		38. Muntah	muta	vomit	
Pukaunu		39. Meludah	pino	spit	
Pukaunu		40. Makan	kã	eat	kã, goː different inflections
Pukaunu		41. Masak	biho	cook	
Pukaunu		42. Minum	tenu	drink	
Pukaunu		43. Gigit	gike	bite	
Pukaunu		44. Menetek	tuho	suck	
Pukaunu		45. Telinga	tilu	ear	
Pukaunu		46. Dengar	bãi	listen	
Pukaunu		47. Mata	mata	eye	
Pukaunu		48. Melihat	bələr	see	
Pukaunu		49. Tidur	turu	sleep	
Pukaunu		50. Rebah	gokal	lie down	
Pukaunu		51. Duduk	tobo	sit	
Pukaunu		52. Berdiri	deʔi	stand	
Pukaunu		53. Orang	atadikẽ	person	
Pukaunu		54. Laki-laki	kake	man	
Pukaunu		55. Wanita	vae	woman	
Pukaunu		56. Anak	kəreŋ	child	
Pukaunu		57. Suami	kakehe	husband	
Pukaunu		58. Isteri	vahe	wife	
Pukaunu		59. Ibu	əmaʔ	mother	
Pukaunu		60. Bapak	baʔ	father	
Pukaunu		61. Kakak	kakaʔ	older sibling	
Pukaunu		62. Adik	arĩ	younger sibling	
Pukaunu		63. Nama	narã	name	
Pukaunu		64. Bilang	hərõ	say	
Pukaunu		65. Tali	tale	rope	
Pukaunu		66. Mengikat 	pũi	tie	
Pukaunu		67. Menjahit 	hau	sew	
Pukaunu		68. Pakaian 	akopake	clothing	
Pukaunu		69. Berburu	ləraʔ	hunt	
Pukaunu		70. Menembak 	pasak	shoot	
Pukaunu		71. Menikam 	tubak 	stab	
Pukaunu		72. Bertinju 	sadok	fist	
Pukaunu		73. berkelahi 	konik	fight	
Pukaunu		74. Membunuh 	belo	kill	
Pukaunu		75. Mati 	matĩ	dead	
Pukaunu		76. Hidup 	mori	alive	
Pukaunu		77. Menggaruk 	gaʔu	scratch	
Pukaunu		78. Memotong	belo	cut	
Pukaunu		79. Batang 	pukã	stem	
Pukaunu		80. Membelah 	bəla	split	
Pukaunu		81. Tajam 	gã	sharp	
Pukaunu		82. Tumpul 	da	blunt 	
Pukaunu		83. Bekerja 	kəriã	work	
Pukaunu		84. Bermain 	vəŋa	play	
Pukaunu		85. Menyanyi	ñañi	sing	
Pukaunu		86. Menari 	soka	dance	
Pukaunu		87. Bengkak	bowo	swollen	
Pukaunu		88. Memeras 	piʔuk	squeeze	
Pukaunu		89. Memegang	data	hold	
Pukaunu		90. Menggali 	galiŋ	dig	
Pukaunu		91. Memberi 	sorõ	give	
Pukaunu		92. Menarik	gehã	pull	
Pukaunu		93. Mendorong 	sogor	push	
Pukaunu		94. Melempar 	tubak 	throw	
Pukaunu		95. Jatuh 	dəkak	fall	
Pukaunu		96. Anjing 	aho	dog	
Pukaunu		97. Burung 	kolõ	bird	
Pukaunu		98. Telur 	təlʔũ	egg	
Pukaunu		99. Bulu 	rawuʔũ	feather	
Pukaunu		100. Sayap 	kəpiʔĩ	wing	
Pukaunu		101. Terbang 	bəka	fly	
Pukaunu		102. Binatang 	binataŋ	animal	
Pukaunu		103. Daging 	mətã	meat	
Pukaunu		104. Lemak 	woraʔã	fat	
Pukaunu		105. Ekor 	kikuʔũ	tale	
Pukaunu		106. Ular 	ula	snake	
Pukaunu		107. Cacing 	mekã	worm	
Pukaunu		108. Kutu 	kuto	louse	
Pukaunu		109. Ikan 	ikã	fish	
Pukaunu		110. Pohon 	kayu	tree	
Pukaunu		111. Busuk 	wãu	rotten	
Pukaunu		112. Daun 	loloŋ	leaf	
Pukaunu		113. Kulit kayu	kayokulit	bark	
Pukaunu		114. Akar 	ramut	root	
Pukaunu		115. Biji 	kuluʔũ	seed	
Pukaunu		116. Bunga 	puhũ	flower	
Pukaunu		117. Buah 	wuʔã	fruit	
Pukaunu		118. Rumput 	luʔo	grass	
Pukaunu		119. Tanah 	tana	earth	
Pukaunu		120. Batu 	wato	stone	
Pukaunu		121. Pasir 	wəra	sand	
Pukaunu		122. Air 	wai	water	
Pukaunu		123. Membeku 	—	freeze	
Pukaunu		124. Es 	—	ice	
Pukaunu		125. Mengalir 	ba	flow	
Pukaunu		126. Terapung 	bao	float	
Pukaunu		127. Laut 	tahik	sea	
Pukaunu		128. Garam 	siʔa	salt	
Pukaunu		129. Danau 	liwo	lake	
Pukaunu		130. Sungai 	suŋe	river	
Pukaunu		131. Gunung 	ile	mountain	
Pukaunu		132. Hutan	ruka onã	forest	
Pukaunu		133. Langit 	kulã	sky	
Pukaunu		134. Matahari 	ləra	sun	
Pukaunu		135. Bintang 	talaʔ	star	
Pukaunu		136. Awan 	kowa	cloud	
Pukaunu		137. Embun 	apũ	dew	
Pukaunu		138. Hujan 	urã	rain	
Pukaunu		139. Salju 	—	snow	
Pukaunu		140. Angin 	ləmur	wind	
Pukaunu		141. Bertiup 	dihẽ	blow	
Pukaunu		142. Panas 	pate	hot	
Pukaunu		143. Dingin 	gətã	cold	
Pukaunu		144. Kering 	maraʔã	dry	
Pukaunu		145. Basah 	deman	wet	
Pukaunu		146. Rata 	rata	flat, smooth	
Pukaunu		147. Berat 	baʔat	heavy	
Pukaunu		148. Api 	ape	fire	
Pukaunu		149. Membakar 	tuno	burn	
Pukaunu		150. Asap 	nuhã	smoke	
Pukaunu		151. Abu 	kəwuk	dust	
Pukaunu		152. Hitam 	mitã	black 	
Pukaunu		153. Putih 	buraʔã	white	
Pukaunu		154. Merah 	meʔã	red	
Pukaunu		155. Kuning 	heret	yellow	
Pukaunu		156. Hijau 	halaŋ	green	
Pukaunu		157. Kecil 	kəsiʔ	small	
Pukaunu		158. Besar 	bəlʔã	big	
Pukaunu		159. Pendek 	lerʔẽ	short	
Pukaunu		160. Panjang 	bahã	long	
Pukaunu		161. Tipis 	nipi	thin	
Pukaunu		162. Tebal 	təbal	thick	
Pukaunu		163. Sempit 	təkə	narrow	
Pukaunu		164. Luas 	belʔã	wide	
Pukaunu		165. Lurus 	lorʔã	straight	
Pukaunu		166. Tua 	duʔã	old	
Pukaunu		167. Baru 	wuʔu	new	
Pukaunu		168. Baik 	masoʔ	good	
Pukaunu		169. Jelek	məko	bad	
Pukaunu		170. Betul 	tokeʔẽ	right, correct	
Pukaunu		171. Malam 	noko	night	
Pukaunu		172. Tahun 	sũ	year	
Pukaunu		173. Hari 	lərõ	day	
Pukaunu		174. Bilamana 	arəmpira	when	
Pukaunu		175. Di 	wəli	in 	
Pukaunu		176. Dalam 	ləmã	inside	
Pukaunu		177. Di sini 	ite	here	
Pukaunu		178. Di situ 	tete	there	
Pukaunu		179. Ini 	iteʔẽ	this	
Pukaunu		180. Itu 	teteʔẽ	that	
Pukaunu		181. Dekat 	dahe	near	
Pukaunu		182. Jauh 	doã	far	
Pukaunu		183. Di mana 	gaʔe	where	
Pukaunu		184. Saya 	go	1SG	
Pukaunu		185. Engkau/ kamu 	mo	2SG;2PL	
Pukaunu		185. Engkau/ kamu 	mio	2SG;2PL	
Pukaunu		186. Dia 	na	3SG	
Pukaunu		187. Kita 	tite	1PL.INC	
Pukaunu		188. Kami 	kame	1PL.EXC	
Pukaunu		189. Mereka 	ra	3PL	
Pukaunu		190. Apa 	a	what	
Pukaunu		191. Siapa 	hege	who	
Pukaunu		192. Lain	haʔekã	other	
Pukaunu		193. Beberapa 	bopira	some	
Pukaunu		194. Banyak 	ayaʔ	many	
Pukaunu		195. Sedikit 	niutou	few	
Pukaunu		196. Semua 	pətika	all	
Pukaunu		197. Dan 	noʔõ	and	
Pukaunu		198. Dengan	noʔõ	with	
Pukaunu		199. Sebab 	pukə̃	because	
