language	lang_id	gloss	transcription	translation	comment
Ritaebang		1. Tangan	lima	hand	
Ritaebang		2. Kiri	nekĩ	left	
Ritaebang		3. Kanan	wana	right	
Ritaebang		4. Kaki	lei	foot	
Ritaebang		5. Kaki	l. əbã	footprint	
Ritaebang		6. Berjalan	pana	walk	
Ritaebang		7. Jalan	larã	road	
Ritaebang		8. Datang	səga	come	
Ritaebang		9. Balik	gəwalik	return	
Ritaebang		10. Berenang	naŋe	swim	
Ritaebang		11. Mencuci	baha	wash	
Ritaebang		12. Hapus	goho	wipe	
Ritaebang		13. Gosok	puʔũ	rub	
Ritaebang		14. Kotor	milã	dirty	
Ritaebang		15. Debu	kawuk	dust	
Ritaebang		16. Kulit	kamaʔ	skin	
Ritaebang		17. Punggung	uhuk	back	
Ritaebang		18. Perut	ale	belly	
Ritaebang		19. Tulang	riʔuk	bone	
Ritaebang		20. Isi perut	kəboti	stomach	
Ritaebang		21. Hati	ate	liver	
Ritaebang		22. Jantung	puho	heart	
Ritaebang		23. Tahu	koi	know	koi, moiː different inflections
Ritaebang		24. Pikir	petə	think	
Ritaebang		25. Takut	soʔot	scared	
Ritaebang		26. Darah	mei	blood	
Ritaebang		27. Kepala	kotã	head	
Ritaebang		28. Leher	wulĩ	neck	
Ritaebang		29. Rambut	rata	hair	
Ritaebang		30. Hidung	irũ	nose	
Ritaebang		31. Bernapas	ər nãi	breathe	
Ritaebang		32. Membaui	siõ	smell	
Ritaebang		33. Mulut	wəwa	mouth	
Ritaebang		34. Gigi	ipə	tooth	
Ritaebang		35. Lidah	wewel	tongue	
Ritaebang		36. Tertawa	geka	laugh	
Ritaebang		37. Menangis	tani	cry	
Ritaebang		38. Muntah	muta	vomit	
Ritaebang		39. Meludah	pərino	spit	
Ritaebang		40. Makan	kã	eat	kã, goː different inflections
Ritaebang		41. Masak	biso	cook	
Ritaebang		42. Minum	tenu	drink	
Ritaebang		43. Gigit	gike	bite	
Ritaebang		44. Menetek	tuho	suck	
Ritaebang		45. Telinga	tilũ	ear	
Ritaebang		46. Dengar	bãi	listen	
Ritaebang		47. Mata	mata	eye	
Ritaebang		48. Melihat	tədə	see	
Ritaebang		49. Tidur	turu	sleep	
Ritaebang		50. Rebah	gola	lie down	
Ritaebang		51. Duduk	tobo	sit	
Ritaebang		52. Berdiri	deʔi	stand	
Ritaebang		53. Orang	atadikã	person	
Ritaebang		54. Laki-laki	bəlake	man	
Ritaebang		55. Wanita	bərkəwãe	woman	
Ritaebang		56. Anak	ana	child	
Ritaebang		57. Suami	lake	husband	
Ritaebang		58. Isteri	kəwãe	wife	
Ritaebang		59. Ibu	əma	mother	
Ritaebang		60. Bapak	bapa	father	
Ritaebang		61. Kakak	kaka	older sibling	
Ritaebang		62. Adik	arĩ	younger sibling	
Ritaebang		63. Nama	narã	name	
Ritaebang		64. Bilang	marĩ	say	
Ritaebang		65. Tali	tale	rope	
Ritaebang		66. Mengikat 	pũĩ	tie	in the book it looks like both the u and i are nasalized
Ritaebang		67. Menjahit 	hau	sew	
Ritaebang		68. Pakaian 	alelolõ	clothing	
Ritaebang		69. Berburu	batĩ	hunt	
Ritaebang		70. Menembak 	pasak	shoot	
Ritaebang		71. Menikam 	tubak	stab	
Ritaebang		72. Bertinju 	tubuk	fist	
Ritaebang		73. berkelahi 	gəni	fight	
Ritaebang		74. Membunuh 	belo	kill	
Ritaebang		75. Mati 	mata	dead	
Ritaebang		76. Hidup 	mori	alive	
Ritaebang		77. Menggaruk 	ragu	scratch	
Ritaebang		78. Memotong	belo	cut	
Ritaebang		79. Batang 	pukã	stem	
Ritaebang		80. Membelah 	bəla	split	
Ritaebang		81. Tajam 	dəkət	sharp	
Ritaebang		82. Tumpul 	kəwiŋo	blunt 	
Ritaebang		83. Bekerja 	ola	work	
Ritaebang		84. Bermain 	gənəkuk	play	
Ritaebang		85. Menyanyi	kantar	sing	
Ritaebang		86. Menari 	soka	dance	
Ritaebang		87. Bengkak	baʔa	swollen	
Ritaebang		88. Memeras 	piʔuk	squeeze	
Ritaebang		89. Memegang	pehẽ	hold	
Ritaebang		90. Menggali 	guĩ	dig	
Ritaebang		91. Memberi 	sorõ	give	
Ritaebang		92. Menarik	widu	pull	
Ritaebang		93. Mendorong 	bogõ	push	
Ritaebang		94. Melempar 	geba	throw	
Ritaebang		95. Jatuh 	dəka	fall	
Ritaebang		96. Anjing 	aho	dog	
Ritaebang		97. Burung 	kolõ	bird	
Ritaebang		98. Telur 	təluk	egg	
Ritaebang		99. Bulu 	rawuk	feather	
Ritaebang		100. Sayap 	kəpi	wing	
Ritaebang		101. Terbang 	bəka	fly	
Ritaebang		102. Binatang 	əwã	animal	
Ritaebang		103. Daging 	ihik	meat	
Ritaebang		104. Lemak 	worã(kahal)	fat	
Ritaebang		105. Ekor 	iku	tale	
Ritaebang		106. Ular 	ula	snake	
Ritaebang		107. Cacing 	kəbeŋã	worm	
Ritaebang		108. Kutu 	kuto	louse	
Ritaebang		109. Ikan 	ikã	fish	
Ritaebang		110. Pohon 	kayo	tree	
Ritaebang		111. Busuk 	wãu	rotten	
Ritaebang		112. Daun 	ləpã	leaf	
Ritaebang		113. Kulit kayu	k. kama	bark	
Ritaebang		114. Akar 	amut	root	
Ritaebang		115. Biji 	lõhõ	seed	
Ritaebang		116. Bunga 	puhũ	flower	
Ritaebang		117. Buah 	wuã	fruit	
Ritaebang		118. Rumput 	kərəmə	grass	
Ritaebang		119. Tanah 	tana	earth	
Ritaebang		120. Batu 	wato	stone	
Ritaebang		121. Pasir 	wəra	sand	
Ritaebang		122. Air 	wai	water	
Ritaebang		123. Membeku 	—	freeze	
Ritaebang		124. Es 	—	ice	
Ritaebang		125. Mengalir 	ba	flow	
Ritaebang		126. Terapung 	bao	float	
Ritaebang		127. Laut 	tahik	sea	
Ritaebang		128. Garam 	siʔa	salt	
Ritaebang		129. Danau 	liwu	lake	
Ritaebang		130. Sungai 	suŋe	river	
Ritaebang		131. Gunung 	ile	mountain	
Ritaebang		132. Hutan	pənɤ	forest	
Ritaebang		133. Langit 	kəlã	sky	
Ritaebang		134. Matahari 	ləra	sun	
Ritaebang		135. Bintang 	bəlia	star	
Ritaebang		136. Awan 	kowa	cloud	
Ritaebang		137. Embun 	apu	dew	
Ritaebang		138. Hujan 	urã	rain	
Ritaebang		139. Salju 	—	snow	
Ritaebang		140. Angin 	aŋi	wind	
Ritaebang		141. Bertiup 	kəbuha	blow	
Ritaebang		142. Panas 	pəlate	hot	
Ritaebang		143. Dingin 	gələtã	cold	
Ritaebang		144. Kering 	marã	dry	
Ritaebang		145. Basah 	dəme	wet	
Ritaebang		146. Rata 	əbã	flat, smooth	
Ritaebang		147. Berat 	baʔa	heavy	
Ritaebang		148. Api 	ape	fire	
Ritaebang		149. Membakar 	tuno	burn	
Ritaebang		150. Asap 	nuhu	smoke	
Ritaebang		151. Abu 	awo	dust	
Ritaebang		152. Hitam 	mitə̃	black 	
Ritaebang		153. Putih 	burã	white	
Ritaebang		154. Merah 	meʔã	red	
Ritaebang		155. Kuning 	kumã	yellow	
Ritaebang		156. Hijau 	bətɤ	green	
Ritaebang		157. Kecil 	anã	small	
Ritaebang		158. Besar 	belã	big	
Ritaebang		159. Pendek 	kəru	short	
Ritaebang		160. Panjang 	bəlãhã	long	
Ritaebang		161. Tipis 	mənipĩ	thin	
Ritaebang		162. Tebal 	pəwərẽ	thick	
Ritaebang		163. Sempit 	kətəkə	narrow	
Ritaebang		164. Luas 	pəloʔẽ	wide	
Ritaebang		165. Lurus 	mopã	straight	
Ritaebang		166. Tua 	tənuʔe	old	
Ritaebang		167. Baru 	wuʔũ	new	
Ritaebang		168. Baik 	sənare	good	
Ritaebang		169. Jelek	datã	bad	
Ritaebang		170. Betul 	nə murã	right, correct	
Ritaebang		171. Malam 	noko	night	
Ritaebang		172. Tahun 	tũ	year	
Ritaebang		173. Hari 	lərõ	day	
Ritaebang		174. Bilamana 	ərəmpira	when	
Ritaebang		175. Di 	pi	in 	
Ritaebang		176. Dalam 	onã	inside	
Ritaebang		177. Di sini 	dipi	here	
Ritaebang		178. Di situ 	dipe	there	
Ritaebang		179. Ini 	tokowe	this	
Ritaebang		180. Itu 	pe	that	
Ritaebang		181. Dekat 	dahẽ	near	
Ritaebang		182. Jauh 	doʔẽ	far	
Ritaebang		183. Di mana 	diga	where	
Ritaebang		184. Saya 	goʔe	1SG	
Ritaebang		185. Engkau/ kamu 	moʔe	2SG;2PL	
Ritaebang		185. Engkau/ kamu 	mio	2SG;2PL	
Ritaebang		186. Dia 	naʔe	3SG	
Ritaebang		187. Kita 	tite	1PL.INC	
Ritaebang		188. Kami 	kame	1PL.EXC	
Ritaebang		189. Mereka 	raʔe	3PL	
Ritaebang		190. Apa 	ã	what	
Ritaebang		191. Siapa 	hege	who	
Ritaebang		192. Lain	ikər	other	
Ritaebang		193. Beberapa 	bopira	some	
Ritaebang		194. Banyak 	aya	many	
Ritaebang		195. Sedikit 	bəruna	few	
Ritaebang		196. Semua 	wokae	all	
Ritaebang		197. Dan 	noʔõ	and	
Ritaebang		198. Dengan	noʔõ	with	
Ritaebang		199. Sebab 	pukã	because	
Ritaebang		200. Jikalau 	kalu	if	
