language	lang_id	gloss	transcription	translation	comment
Tanjung		1. Tangan	lima	hand	
Tanjung		2. Kiri	nekĩ	left	
Tanjung		3. Kanan	wana	right	
Tanjung		4. Kaki	lei	foot	
Tanjung		5. Kaki	makat	footprint	
Tanjung		6. Berjalan	pana	walk	
Tanjung		7. Jalan	larã	road	
Tanjung		8. Datang	səga	come	
Tanjung		9. Balik	oli	return	
Tanjung		10. Berenang	naŋe	swim	
Tanjung		11. Mencuci	baha	wash	
Tanjung		12. Hapus	hamu	wipe	
Tanjung		13. Gosok	doru	rub	
Tanjung		14. Kotor	milã	dirty	
Tanjung		15. Debu	kəawuk	dust	
Tanjung		16. Kulit	kama	skin	
Tanjung		17. Punggung	kolaʔ	back	
Tanjung		18. Perut	ale	belly	
Tanjung		19. Tulang	riʔuk	bone	
Tanjung		20. Isi perut	tãi kəboti	stomach	
Tanjung		21. Hati	ate	liver	
Tanjung		22. Jantung	puhũ	heart	
Tanjung		23. Tahu	koi	know	koi, moiː different inflections
Tanjung		24. Pikir	ukut	think	
Tanjung		25. Takut	soʔot	scared	
Tanjung		26. Darah	mei	blood	
Tanjung		27. Kepala	kotək	head	
Tanjung		28. Leher	wuli	neck	
Tanjung		29. Rambut	rata	hair	
Tanjung		30. Hidung	irũ	nose	
Tanjung		31. Bernapas	hari nãi	breathe	
Tanjung		32. Membaui	soba	smell	
Tanjung		33. Mulut	wəwak	mouth	
Tanjung		34. Gigi	ipə	tooth	
Tanjung		35. Lidah	wewel	tongue	
Tanjung		36. Tertawa	geka	laugh	
Tanjung		37. Menangis	tani	cry	
Tanjung		38. Muntah	muta	vomit	
Tanjung		39. Meludah	putã	spit	
Tanjung		40. Makan	təkã	eat	
Tanjung		41. Masak	biho	cook	
Tanjung		42. Minum	tenu	drink	
Tanjung		43. Gigit	gike	bite	
Tanjung		44. Menetek	tuho	suck	
Tanjung		45. Telinga	tilu	ear	
Tanjung		46. Dengar	bãi	listen	
Tanjung		47. Mata	mata	eye	
Tanjung		48. Melihat	koi	see	
Tanjung		49. Tidur	turu	sleep	
Tanjung		50. Rebah	epa gola	lie down	
Tanjung		51. Duduk	tobo	sit	
Tanjung		52. Berdiri	deʔi	stand	
Tanjung		53. Orang	ata	person	
Tanjung		54. Laki-laki	amalake	man	
