language	lang_id	gloss	transcription	translation	comment
Watan	wata1250	1. Tangan	limã	hand	
Watan	wata1250	2. Kiri	nekĩ	left	
Watan	wata1250	3. Kanan	wanã	right	
Watan	wata1250	4. Kaki	lei	foot	
Watan	wata1250	5. Kaki	—	footprint	
Watan	wata1250	6. Berjalan	pana	walk	
Watan	wata1250	7. Jalan	rarã	road	
Watan	wata1250	8. Datang	beto	come	
Watan	wata1250	9. Balik	balok	return	
Watan	wata1250	10. Berenang	naŋe	swim	
Watan	wata1250	11. Mencuci	baha	wash	
Watan	wata1250	12. Hapus	oso	wipe	
Watan	wata1250	13. Gosok	oso	rub	
Watan	wata1250	14. Kotor	milã	dirty	
Watan	wata1250	15. Debu	əmut	dust	
Watan	wata1250	16. Kulit	kulit	skin	
Watan	wata1250	17. Punggung	wohõ	back	
Watan	wata1250	18. Perut	taĩ	belly	
Watan	wata1250	19. Tulang	ri’ʔũ	bone	
Watan	wata1250	20. Isi perut	kəbotik	stomach	
Watan	wata1250	21. Hati	hati	liver	
Watan	wata1250	22. Jantung	puho	heart	
Watan	wata1250	23. Tahu	koi	know	koi, moiː different inflections
Watan	wata1250	24. Pikir	petã	think	
Watan	wata1250	25. Takut	soʔo	scared	
Watan	wata1250	26. Darah	mei	blood	
Watan	wata1250	27. Kepala	kotʔã	head	
Watan	wata1250	28. Leher	wulĩ	neck	
Watan	wata1250	29. Rambut	rata	hair	
Watan	wata1250	30. Hidung	irũ	nose	
Watan	wata1250	31. Bernapas	nəri n.	breathe	
Watan	wata1250	32. Membaui	sioro	smell	
Watan	wata1250	33. Mulut	wəwã	mouth	
Watan	wata1250	34. Gigi	ipʔã	tooth	
Watan	wata1250	35. Lidah	wewer	tongue	
Watan	wata1250	36. Tertawa	geka	laugh	
Watan	wata1250	37. Menangis	tani	cry	
Watan	wata1250	38. Muntah	muta	vomit	
Watan	wata1250	39. Meludah	pərino	spit	
Watan	wata1250	40. Makan	go	eat	
Watan	wata1250	41. Masak	dena	cook	
Watan	wata1250	42. Minum	menu	drink	
Watan	wata1250	43. Gigit	gike	bite	
Watan	wata1250	44. Menetek	tuho	suck	
Watan	wata1250	45. Telinga	tilũ	ear	
Watan	wata1250	46. Dengar	dəŋa	listen	
Watan	wata1250	47. Mata	mata	eye	
Watan	wata1250	48. Melihat	tədaʔ	see	
Watan	wata1250	49. Tidur	turu	sleep	
Watan	wata1250	50. Rebah		lie down	empty
Watan	wata1250	51. Duduk	tobo	sit	
