language	lang_id	gloss	transcription	translation	comment
Wuakerong		1. Tangan	limak	hand	
Wuakerong		2. Kiri	səmekiŋ	left	
Wuakerong		3. Kanan	wana	right	
Wuakerong		4. Kaki	leik	foot	
Wuakerong		5. Kaki	l. əpã	footprint	
Wuakerong		6. Berjalan	pana	walk	
Wuakerong		7. Jalan	lara	road	
Wuakerong		8. Datang	bəsol	come	
Wuakerong		9. Balik	tue	return	
Wuakerong		10. Berenang	naŋe	swim	
Wuakerong		11. Mencuci	sesa	wash	
Wuakerong		12. Hapus	hapus	wipe	
Wuakerong		13. Gosok	godo	rub	
Wuakerong		14. Kotor	mila	dirty	
Wuakerong		15. Debu	əmut	dust	
Wuakerong		16. Kulit	kama	skin	
Wuakerong		17. Punggung	uhuk	back	
Wuakerong		18. Perut	taik	belly	
Wuakerong		19. Tulang	riɁũ	bone	
Wuakerong		20. Isi perut	taik kaluŋ	stomach	
Wuakerong		21. Hati	one	liver	
Wuakerong		22. Jantung	puho	heart	
Wuakerong		23. Tahu	koi	know	koi, moi: different inflections
Wuakerong		24. Pikir	petã	think	
Wuakerong		25. Takut	kərui	scared	
Wuakerong		26. Darah	səmei	blood	
Wuakerong		27. Kepala	kotẽ	head	
Wuakerong		28. Leher	wuli	neck	
Wuakerong		29. Rambut	rata	hair	
Wuakerong		30. Hidung	niruŋ	nose	
Wuakerong		31. Bernapas	gidã nãi	breathe	
Wuakerong		32. Membaui	hodã	smell	
Wuakerong		33. Mulut	wəwã	mouth	
Wuakerong		34. Gigi	ipẽ	tooth	
Wuakerong		35. Lidah	ewel	tongue	
Wuakerong		36. Tertawa	gekaj	laugh	
Wuakerong		37. Menangis	tani	cry	
Wuakerong		38. Muntah	lua	vomit	
Wuakerong		39. Meludah	təmijo	spit	
Wuakerong		40. Makan	ka	eat	ka, ga: different inflections
Wuakerong		41. Masak	biho	cook	
Wuakerong		42. Minum	nenu	drink	
Wuakerong		43. Gigit	gike	bite	
Wuakerong		44. Menetek	tuho	suck	
Wuakerong		45. Telinga	tilu	ear	
Wuakerong		46. Dengar	dəŋə	listen	
Wuakerong		47. Mata	mata	eye	
Wuakerong		48. Melihat	hule	see	
Wuakerong		49. Tidur	turu	sleep	
Wuakerong		50. Rebah	toba	lie down	
Wuakerong		51. Duduk	tobo	sit	
Wuakerong		52. Berdiri	deɁi	stand	
Wuakerong		53. Orang	atadikẽ	person	
Wuakerong		54. Laki-laki	kəlake	man	
Wuakerong		55. Wanita	kəwae	woman	
Wuakerong		56. Anak	ana	child	
Wuakerong		57. Suami	kəlake	husband	
Wuakerong		58. Isteri	kəwae	wife	
Wuakerong		59. Ibu	ina	mother	
Wuakerong		60. Bapak	ama	father	
Wuakerong		61. Kakak	kaka	older sibling	
Wuakerong		62. Adik	ari	younger sibling	
Wuakerong		63. Nama	nara	name	
Wuakerong		64. Bilang	tutu	say	
Wuakerong		65. Tali	tale	rope	
Wuakerong		66. Mengikat 	pui	tie	
Wuakerong		67. Menjahit 	haur	sew	
Wuakerong		68. Pakaian 	alelolo	clothing	
Wuakerong		69. Berburu	hapõ	hunt	
Wuakerong		70. Menembak 	pasak	shoot	
Wuakerong		71. Menikam 	tubak	stab	
Wuakerong		72. Bertinju 	tado	fist	
Wuakerong		73. berkelahi 	unho	fight	
Wuakerong		74. Membunuh 	təbajak	kill	
Wuakerong		75. Mati 	mataj	dead	
Wuakerong		76. Hidup 	morɁi	alive	
Wuakerong		77. Menggaruk 	ragu	scratch	
Wuakerong		78. Memotong	belo	cut	
Wuakerong		79. Batang 	tawa	stem	
Wuakerong		80. Membelah 	ləka	split	
Wuakerong		81. Tajam 	rəket	sharp	
Wuakerong		82. Tumpul 	motel	blunt 	
Wuakerong		83. Bekerja 	kərja	work	
Wuakerong		84. Bermain 	gəlaha	play	
Wuakerong		85. Menyanyi	kantar	sing	
Wuakerong		86. Menari 	soka	dance	
Wuakerong		87. Bengkak	kəbəte	swollen	
Wuakerong		88. Memeras 	piɁuk	squeeze	
Wuakerong		89. Memegang	pehe	hold	
Wuakerong		90. Menggali 	gaɁe	dig	
Wuakerong		91. Memberi 	sorõ	give	
Wuakerong		92. Menarik	tubo	pull	
Wuakerong		93. Mendorong 	udur	push	
Wuakerong		94. Melempar 	geba	throw	
Wuakerong		95. Jatuh 	gətak	fall	
Wuakerong		96. Anjing 	aho	dog	
Wuakerong		97. Burung 	kolo	bird	
Wuakerong		98. Telur 	təlu	egg	
Wuakerong		99. Bulu 	rawũ	feather	
Wuakerong		100. Sayap 	kəpiɁ	wing	
Wuakerong		101. Terbang 	bəka	fly	
Wuakerong		102. Binatang 	əwã	animal	
Wuakerong		103. Daging 	elã	meat	
Wuakerong		104. Lemak 	worɁa	fat	
Wuakerong		105. Ekor 	iku	tale	
Wuakerong		106. Ular 	ula	snake	
Wuakerong		107. Cacing 	salawalak	worm	
Wuakerong		108. Kutu 	kuto	louse	
Wuakerong		109. Ikan 	ikã	fish	
Wuakerong		110. Pohon 	kajo	tree	
Wuakerong		111. Busuk 	wau	rotten	
Wuakerong		112. Daun 	lolo	leaf	
Wuakerong		113. Kulit kayu	kajokama	bark	
Wuakerong		114. Akar 	amut	root	
Wuakerong		115. Biji 	kulɁu	seed	
Wuakerong		116. Bunga 	puhu	flower	
Wuakerong		117. Buah 	wuã	fruit	
Wuakerong		118. Rumput 	kəruɁu	grass	
Wuakerong		119. Tanah 	tana	earth	
Wuakerong		120. Batu 	wato	stone	
Wuakerong		121. Pasir 	wəra	sand	
Wuakerong		122. Air 	wai	water	
Wuakerong		123. Membeku 	—	freeze	
Wuakerong		124. Es 	—	ice	
Wuakerong		125. Mengalir 	baŋak	flow	
Wuakerong		126. Terapung 	bao	float	
Wuakerong		127. Laut 	ojok	sea	
Wuakerong		128. Garam 	siɁa	salt	
Wuakerong		129. Danau 	liwo	lake	
Wuakerong		130. Sungai 	luŋu	river	
Wuakerong		131. Gunung 	ile	mountain	
Wuakerong		132. Hutan	əka məge	forest	
Wuakerong		133. Langit 	kələm	sky	
Wuakerong		134. Matahari 	ləra	sun	
Wuakerong		135. Bintang 	tona	star	
Wuakerong		136. Awan 	kowa	cloud	
Wuakerong		137. Embun 	apũ	dew	
Wuakerong		138. Hujan 	ura	rain	
Wuakerong		139. Salju 	—	snow	
Wuakerong		140. Angin 	aŋi	wind	
Wuakerong		141. Bertiup 	puis	blow	
Wuakerong		142. Panas 	pəlate	hot	
Wuakerong		143. Dingin 	lətəs	cold	
Wuakerong		144. Kering 	mara	dry	
Wuakerong		145. Basah 	səba	wet	
Wuakerong		146. Rata 	lere	flat, smooth	
Wuakerong		147. Berat 	baɁat	heavy	
Wuakerong		148. Api 	ape	fire	
Wuakerong		149. Membakar 	səru	burn	
Wuakerong		150. Asap 	sənəgur	smoke	
Wuakerong		151. Abu 	kawok	dust	
Wuakerong		152. Hitam 	miteŋ	black 	
Wuakerong		153. Putih 	bura	white	
Wuakerong		154. Merah 	meɁã	red	
Wuakerong		155. Kuning 	kuma	yellow	
Wuakerong		156. Hijau 	hijo	green	
Wuakerong		157. Kecil 	kudu	small	
Wuakerong		158. Besar 	belɁẽ	big	
Wuakerong		159. Pendek 	kəsɁu	short	
Wuakerong		160. Panjang 	bəlakã	long	
Wuakerong		161. Tipis 	nipi	thin	
Wuakerong		162. Tebal 	pəŋe	thick	
Wuakerong		163. Sempit 	hipet	narrow	
Wuakerong		164. Luas 	belɁẽ	wide	
Wuakerong		165. Lurus 	mulu	straight	
Wuakerong		166. Tua 	magu	old	
Wuakerong		167. Baru 	wuɁũ	new	
Wuakerong		168. Baik 	məlã	good	
Wuakerong		169. Jelek	məkeŋ	bad	
Wuakerong		170. Betul 	nã mure	right, correct	
Wuakerong		171. Malam 	baɁu	night	
Wuakerong		172. Tahun 	tuŋ	year	
Wuakerong		173. Hari 	ləro	day	
Wuakerong		174. Bilamana 	ar pira	when	
Wuakerong		175. Di 	de	in 	
