Language ID	Family	Language name (-dialect)	Culture	ISO_code	Internal	Glottolog	Lat	Lon	Region	Description	Comments	languagename	db_Object
atim1239	Timor-Alor-Pantar	Abui-Atimelang		abz		atim1239	-8.226	124.6683	Alor		Atimelang and Fuimelang were two villages but have merged; Atimelang=Atengmelang	abuiatimelang	Abui-Atimelang
abui1241-fuime	Timor-Alor-Pantar	Abui-Fuimelang		abz			-8.226	124.6683	Alor			abuifuimelang	Abui-Fuimelang
abui1241-petle-o	Timor-Alor-Pantar	Abui-Petleng (Orthographic)		abz			-8.2144	124.593	Alor			abuipetlengorthographic	Abui-Petleng (Orthographic)
abui1241-petle	Timor-Alor-Pantar	Abui-Petleng		abz			-8.2144	124.593	Alor			abuipetleng	Abui-Petleng
abui1241-takal	Timor-Alor-Pantar	Abui-Takalelang	abui	abz		abui1241	-8.1887	124.6264	Alor			abuitakalelang	Abui-Takalelang
abui1241-takal-o	Timor-Alor-Pantar	Abui-Takalelang (Orthographic)		abz		abui1241	-8.1887	124.6264	Alor			abuitakalelangorthographic	Abui-Takalelang (Orthographic)
adan1251	Timor-Alor-Pantar	Adang-Lawahing		adn		adan1251	-8.2109	124.4272	Alor			adanglawahing	Adang-Lawahing
baka1276	Timor-Alor-Pantar	Blagar-Bakalang		beu		baka1276	-8.2634	124.2972	Pantar			blagarbakalang	Blagar-Bakalang
blag1240-bama	Timor-Alor-Pantar	Blagar-Bama		beu 			-8.2771	124.3013	Pantar			blagarbama	Blagar-Bama
pura1258	Timor-Alor-Pantar	Blagar-Pura	blag	beu 		pura1258	-8.2829	124.3307	Pura		includes Blagar Dolabang and Blagar Dadibira	blagarpura	Blagar-Pura
blag1240-kulij	Timor-Alor-Pantar	Blagar-Kulijahi		beu 			-8.2975	124.3033	Pantar			blagarkulijahi	Blagar-Kulijahi
blag1240-nule	Timor-Alor-Pantar	Blagar-Nule		beu 			-8.3672	124.2409	Pantar			blagarnule	Blagar-Nule
blag1240-tuntu	Timor-Alor-Pantar	Blagar-Tuntuli		beu			-8.2056	124.2907	Pantar			blagartuntuli	Blagar-Tuntuli
blag1240-warsa	Timor-Alor-Pantar	Blagar-Warsalelang		beu			-8.3252	124.3011	Pantar			blagarwarsalelang	Blagar-Warsalelang
bunakbobonaro	Timor-Alor-Pantar	Bunaq-Bobonaro	buna	bfn 			-8.4394	126.9821	Timor			bunaqbobonaro	Bunaq-Bobonaro
buna1278	Timor-Alor-Pantar	Bunak (Orthographic)		bfn 			-8.9912	125.2227	Timor		Orthographic data comes from Maliana table	bunakorthographic	Bunak (Orthographic)
bunaksuai	Timor-Alor-Pantar	Bunaq-Suai		bfn 			-9.318825	125.2625	Timor			bunaqsuai	Bunaq-Suai
