# Wordlist

# DATA
ID	CONCEPT_ID	CONCEPT	DOCULECT_ID	DOCULECT	FAMILY	REGION	VALUE	ALIGNMENT	COGNATE_SET	SOURCE	SEGMENTS
#
33	34.0	(coral) reef	keda1252	Kedang	Austronesian	Lembata	'ruhu		1		ˈr u h u
620	34.0	(coral) reef	kelo1247	Klon	Timor-Alor-Pantar	Alor	kɔka		nan		k ɔ k a
1230	34.0	(coral) reef	cent2245-hewa	Hewa	Austronesian	Flores	ruhɔ		nan		r u h ɔ
2153	34.0	(coral) reef	adan1251	Adang	Timor-Alor-Pantar	Alor	ɔʔɔi		*		ɔ ʔ ɔ i
2744	34.0	(coral) reef	lama1278	Lamaholot-Lewoingu	Austronesian	Flores	aha		2		a h a
4408	34.0	(coral) reef	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	Alor	futi		nan		f u t i
4410	34.0	(coral) reef	atim1239	Abui-Atimelang	Timor-Alor-Pantar	Alor	karafi		1		k a r a f i
4412	34.0	(coral) reef	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	Alor	tonkar		[A1]		t o n k a r
4416	34.0	(coral) reef	kira1248	Kiraman	Timor-Alor-Pantar	Alor	siˈlar		3		s i ˈl a r
4417	34.0	(coral) reef	kuii1253	Kui-Moru	Timor-Alor-Pantar	Alor	agál		5		a g á l
4418	34.0	(coral) reef	kuii1253	Kui-Moru	Timor-Alor-Pantar	Alor	tul		5		t u l
4419	34.0	(coral) reef	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	Alor	sala		nan		s a l a
4422	34.0	(coral) reef	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	Pantar	tómi		nan		t ó m i
4423	34.0	(coral) reef	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	Pantar	tomí		nan		t o m í
4424	34.0	(coral) reef	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	Pantar	tomu		nan		t o m u
4425	34.0	(coral) reef	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	Pantar	mur		nan		m u r
4426	34.0	(coral) reef	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	Pantar	tomu		nan		t o m u
4427	34.0	(coral) reef	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	Pantar	tómu		nan		t ó m u
4428	34.0	(coral) reef	blag1240-tuntu	Blagar-Tuntuli	Timor-Alor-Pantar	Pantar	tómu		nan		t ó m u
4429	34.0	(coral) reef	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	Pantar	sisa		nan		s i s a
4430	34.0	(coral) reef	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	Pantar	tomu		nan		t o m u
4431	34.0	(coral) reef	dein1238	Deing	Timor-Alor-Pantar	Pantar	qau sis		nan		q a u _ s i s
4432	34.0	(coral) reef	kaer1234-o	Kaera-Abangiwang (Orthographic)	Timor-Alor-Pantar	Pantar	sɛp		nan		s ɛ p
4433	34.0	(coral) reef	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	Pantar	lassang		2		l a ss a n g
4434	34.0	(coral) reef	nede1245	Nedebang	Timor-Alor-Pantar	Pantar	qaera		nan		q a e r a
4435	34.0	(coral) reef	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	Pantar	'tumu		A		ˈt u m u
4436	34.0	(coral) reef	kola1287	Wersing-Kolana	Timor-Alor-Pantar	Timor	salár		nan		s a l á r
15982	34.0	(coral) reef	kula1280	Kula	Timor-Alor-Pantar	Alor	sala		nan		s a l a
16575	34.0	(coral) reef	wers1238	Wersing	Timor-Alor-Pantar	Timor	slar		nan		s l a r
17169	34.0	(coral) reef	sout2896-lerek	Lerek Lamaholot	Austronesian	Lembata	ˈuhor	nan	nan	nan	ˈu h o r
17745	34.0	(coral) reef	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	Timor	phi		nan		ph i
18330	34.0	(coral) reef	pura1258	Blagar-Pura	Timor-Alor-Pantar	Pura	koka omi		nan		k o k a _ o m i
18913	34.0	(coral) reef	atim1239	Abui-Atimelang	Timor-Alor-Pantar	Alor	karafi		1		k a r a f i
19341	34.0	(coral) reef	tetu1245-suai	Tetun Terik-Suai 	Austronesian	Timor	ahu ruiŋ		nan		a h u _ r u i ŋ
20515	34.0	(coral) reef	fata1247	Fataluku	Timor-Alor-Pantar	Timor	tahi 'matar		nan		t a h i _ ˈm a t a r
21123	34.0	(coral) reef	sawi1256	Sawila	Timor-Alor-Pantar	Alor	səlara		nan		s ə l a r a
21710	34.0	(coral) reef	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	Timor	ahu ruiŋ		nan		a h u _ r u i ŋ
22939	34.0	(coral) reef	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	Alor	futi		nan		f u t i
24528	34.0	(coral) reef	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	Alor	ko.qäi		nan		k o q ä i
24529	34.0	(coral) reef	abui1241-takal-o	Abui-Takalelang (Orthographic)	Timor-Alor-Pantar	Alor	kokai		nan		k o k a i
25747	34.0	(coral) reef	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	Timor	fi		nan		f i
26330	34.0	(coral) reef	keda1252	Kedang	Austronesian	Lembata	'ruhu		1		ˈr u h u
27450	34.0	(coral) reef	adon1237	Lamaholot-Adonara	Austronesian	Adonara	'rubu		1		ˈr u b u
28035	34.0	(coral) reef	maka1316	Makasae	Timor-Alor-Pantar	Timor	meti'afa		nan		m e t i ˈa f a
#
